Letter,TP,TN,FP,FN,Accuracy,Precision,Recall,F1
ፂ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ፅ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ዙ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ፄ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ዘ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ፑ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ፐ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ፓ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ፒ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ፕ , 90 , 20250 , 180 , 0 , 81.884057971 , 33.3333333333 , 100.0 , 50.0
ፔ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ፖ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ጨ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ጩ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ዟ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ዓ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ዹ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ጮ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ጁ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ጤ , 0 , 20340 , 0 , 90 , 81.884057971 , 0 , 0.0 , 0
ሂ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ሃ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
ሀ , 90 , 20250 , 0 , 0 , 81.884057971 , 100.0 , 100.0 , 100.0
